RowID,Date,Year,Location,IndicatorName,IndicatorValue,Notes
"Raleigh, NCProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Raleigh, NC","Property crime rate (per 100,000 population)",3476,
"Tampa, FLProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Tampa, FL","Property crime rate (per 100,000 population)",4975,
"Benchmark AverageProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,Benchmark Average,"Property crime rate (per 100,000 population)",5802,
"Atlanta, GAViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Atlanta, GA","Violent crime rate (per 100,000 population)",1624,
"Baton Rouge, LAViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Baton Rouge, LA","Violent crime rate (per 100,000 population)",1145,
"Memphis, TNViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Memphis, TN","Violent crime rate (per 100,000 population)",1952,
"Miami, FLViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Miami, FL","Violent crime rate (per 100,000 population)",1492,
"Nashville, TNViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Nashville, TN","Violent crime rate (per 100,000 population)",1509,
"New Orleans, LAViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"New Orleans, LA","Violent crime rate (per 100,000 population)",1564,
"Oklahoma City, OKViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Oklahoma City, OK","Violent crime rate (per 100,000 population)",851,
"Raleigh, NCViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Raleigh, NC","Violent crime rate (per 100,000 population)",572,
"Tampa, FLViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Tampa, FL","Violent crime rate (per 100,000 population)",1060,
"Benchmark AverageViolent crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,Benchmark Average,"Violent crime rate (per 100,000 population)",1275,
"Atlanta, GAMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Atlanta, GA",Murder and nonnegligent manslaughter,105,
"Baton Rouge, LAMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Baton Rouge, LA",Murder and nonnegligent manslaughter,67,
"Memphis, TNMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Memphis, TN",Murder and nonnegligent manslaughter,138,
"Miami, FLMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Miami, FL",Murder and nonnegligent manslaughter,63,
"Nashville, TNMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Nashville, TN",Murder and nonnegligent manslaughter,76,
"New Orleans, LAMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"New Orleans, LA",Murder and nonnegligent manslaughter,179,
"Oklahoma City, OKMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Oklahoma City, OK",Murder and nonnegligent manslaughter,57,
"Raleigh, NCMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Raleigh, NC",Murder and nonnegligent manslaughter,34,
"Tampa, FLMurder and nonnegligent manslaughter2008",12/31/2008 12:00:00 AM,2008,"Tampa, FL",Murder and nonnegligent manslaughter,27,
Benchmark AverageMurder and nonnegligent manslaughter2008,12/31/2008 12:00:00 AM,2008,Benchmark Average,Murder and nonnegligent manslaughter,71,
"Atlanta, GAProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Atlanta, GA","Property crime rate (per 100,000 population)",7313,
"Baton Rouge, LAProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Baton Rouge, LA","Property crime rate (per 100,000 population)",5494,
"Memphis, TNProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Memphis, TN","Property crime rate (per 100,000 population)",8016,
"Miami, FLProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Miami, FL","Property crime rate (per 100,000 population)",5190,
"Nashville, TNProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Nashville, TN","Property crime rate (per 100,000 population)",5360,
"New Orleans, LAProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"New Orleans, LA","Property crime rate (per 100,000 population)",5287,
"Oklahoma City, OKProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Oklahoma City, OK","Property crime rate (per 100,000 population)",5894,
"Raleigh, NCProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Raleigh, NC","Property crime rate (per 100,000 population)",3401,
"Tampa, FLProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Tampa, FL","Property crime rate (per 100,000 population)",4600,
"Benchmark AverageProperty crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,Benchmark Average,"Property crime rate (per 100,000 population)",5658,
"Atlanta, GAViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Atlanta, GA","Violent crime rate (per 100,000 population)",1389,
"Baton Rouge, LAViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Baton Rouge, LA","Violent crime rate (per 100,000 population)",1185,
"Memphis, TNViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Memphis, TN","Violent crime rate (per 100,000 population)",1925,
"Miami, FLViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Miami, FL","Violent crime rate (per 100,000 population)",1335,
"Nashville, TNViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Nashville, TN","Violent crime rate (per 100,000 population)",1389,
"New Orleans, LAViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"New Orleans, LA","Violent crime rate (per 100,000 population)",1019,
"Oklahoma City, OKViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Oklahoma City, OK","Violent crime rate (per 100,000 population)",978,
"Raleigh, NCViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Raleigh, NC","Violent crime rate (per 100,000 population)",578,
"Tampa, FLViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,"Tampa, FL","Violent crime rate (per 100,000 population)",883,
"Benchmark AverageViolent crime rate (per 100,000 population)2008",12/31/2008 12:00:00 AM,2008,Benchmark Average,"Violent crime rate (per 100,000 population)",1208,
"Atlanta, GAMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Atlanta, GA",Murder and nonnegligent manslaughter,80,
"Baton Rouge, LAMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Baton Rouge, LA",Murder and nonnegligent manslaughter,75,
"Memphis, TNMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Memphis, TN",Murder and nonnegligent manslaughter,132,
"Miami, FLMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Miami, FL",Murder and nonnegligent manslaughter,59,
"Nashville, TNMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Nashville, TN",Murder and nonnegligent manslaughter,79,
"New Orleans, LAMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"New Orleans, LA",Murder and nonnegligent manslaughter,174,
"Oklahoma City, OKMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Oklahoma City, OK",Murder and nonnegligent manslaughter,65,
"Raleigh, NCMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Raleigh, NC",Murder and nonnegligent manslaughter,14,
"Tampa, FLMurder and nonnegligent manslaughter2009",12/31/2009 12:00:00 AM,2009,"Tampa, FL",Murder and nonnegligent manslaughter,20,
Benchmark AverageMurder and nonnegligent manslaughter2009,12/31/2009 12:00:00 AM,2009,Benchmark Average,Murder and nonnegligent manslaughter,65,
"Atlanta, GAProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Atlanta, GA","Property crime rate (per 100,000 population)",6213,
"Baton Rouge, LAProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Baton Rouge, LA","Property crime rate (per 100,000 population)",6119,
"Memphis, TNProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Memphis, TN","Property crime rate (per 100,000 population)",7080,
"Miami, FLProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Miami, FL","Property crime rate (per 100,000 population)",4957,
"Nashville, TNProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Nashville, TN","Property crime rate (per 100,000 population)",4775,
"New Orleans, LAProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"New Orleans, LA","Property crime rate (per 100,000 population)",3846,
"Oklahoma City, OKProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Oklahoma City, OK","Property crime rate (per 100,000 population)",6098,
"Raleigh, NCProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Raleigh, NC","Property crime rate (per 100,000 population)",3403,
"Tampa, FLProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Tampa, FL","Property crime rate (per 100,000 population)",3754,
"Benchmark AverageProperty crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,Benchmark Average,"Property crime rate (per 100,000 population)",5300,
"Atlanta, GAViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Atlanta, GA","Violent crime rate (per 100,000 population)",1150,
"Baton Rouge, LAViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Baton Rouge, LA","Violent crime rate (per 100,000 population)",1265,
"Memphis, TNViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Memphis, TN","Violent crime rate (per 100,000 population)",1809,
"Miami, FLViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Miami, FL","Violent crime rate (per 100,000 population)",1189,
"Nashville, TNViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Nashville, TN","Violent crime rate (per 100,000 population)",1141,
"New Orleans, LAViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"New Orleans, LA","Violent crime rate (per 100,000 population)",777,
"Oklahoma City, OKViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Oklahoma City, OK","Violent crime rate (per 100,000 population)",930,
"Raleigh, NCViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Raleigh, NC","Violent crime rate (per 100,000 population)",493,
"Tampa, FLViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,"Tampa, FL","Violent crime rate (per 100,000 population)",752,
"Benchmark AverageViolent crime rate (per 100,000 population)2009",12/31/2009 12:00:00 AM,2009,Benchmark Average,"Violent crime rate (per 100,000 population)",1091,
"Atlanta, GAMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Atlanta, GA",Murder and nonnegligent manslaughter,93,
"Baton Rouge, LAMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Baton Rouge, LA",Murder and nonnegligent manslaughter,69,
"Memphis, TNMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Memphis, TN",Murder and nonnegligent manslaughter,89,
"Miami, FLMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Miami, FL",Murder and nonnegligent manslaughter,68,
"Nashville, TNMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Nashville, TN",Murder and nonnegligent manslaughter,55,
"New Orleans, LAMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"New Orleans, LA",Murder and nonnegligent manslaughter,175,
"Oklahoma City, OKMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Oklahoma City, OK",Murder and nonnegligent manslaughter,54,
"Raleigh, NCMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Raleigh, NC",Murder and nonnegligent manslaughter,14,
"Tampa, FLMurder and nonnegligent manslaughter2010",12/31/2010 12:00:00 AM,2010,"Tampa, FL",Murder and nonnegligent manslaughter,27,
Benchmark AverageMurder and nonnegligent manslaughter2010,12/31/2010 12:00:00 AM,2010,Benchmark Average,Murder and nonnegligent manslaughter,58,
"Atlanta, GAProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Atlanta, GA","Property crime rate (per 100,000 population)",7333,
"Baton Rouge, LAProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Baton Rouge, LA","Property crime rate (per 100,000 population)",5432,
"Memphis, TNProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Memphis, TN","Property crime rate (per 100,000 population)",6520,
"Miami, FLProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Miami, FL","Property crime rate (per 100,000 population)",5312,
"Nashville, TNProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Nashville, TN","Property crime rate (per 100,000 population)",4998,
"New Orleans, LAProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"New Orleans, LA","Property crime rate (per 100,000 population)",3678,
"Oklahoma City, OKProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Oklahoma City, OK","Property crime rate (per 100,000 population)",5735,
"Raleigh, NCProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Raleigh, NC","Property crime rate (per 100,000 population)",3217,
"Tampa, FLProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Tampa, FL","Property crime rate (per 100,000 population)",3412,
"Benchmark AverageProperty crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,Benchmark Average,"Property crime rate (per 100,000 population)",5245,
"Atlanta, GAViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Atlanta, GA","Violent crime rate (per 100,000 population)",1369,
"Baton Rouge, LAViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Baton Rouge, LA","Violent crime rate (per 100,000 population)",1104,
"Memphis, TNViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Memphis, TN","Violent crime rate (per 100,000 population)",1608,
"Miami, FLViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Miami, FL","Violent crime rate (per 100,000 population)",1221,
"Nashville, TNViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Nashville, TN","Violent crime rate (per 100,000 population)",1124,
"New Orleans, LAViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"New Orleans, LA","Violent crime rate (per 100,000 population)",754,
"Oklahoma City, OKViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Oklahoma City, OK","Violent crime rate (per 100,000 population)",915,
"Raleigh, NCViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Raleigh, NC","Violent crime rate (per 100,000 population)",431,
"Tampa, FLViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,"Tampa, FL","Violent crime rate (per 100,000 population)",646,
"Benchmark AverageViolent crime rate (per 100,000 population)2010",12/31/2010 12:00:00 AM,2010,Benchmark Average,"Violent crime rate (per 100,000 population)",1052,
"Atlanta, GAMurder and nonnegligent manslaughter2011",12/31/2011 12:00:00 AM,2011,"Atlanta, GA",Murder and nonnegligent manslaughter,88,
"Baton Rouge, LAMurder and nonnegligent manslaughter2011",12/31/2011 12:00:00 AM,2011,"Baton Rouge, LA",Murder and nonnegligent manslaughter,64,
